url,objectsh,finalrank,facerank,strongcol1percent
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329020/medium/1491811060/enhance,2,3.81,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328333/medium/1491810876/enhance,4,1.49,0,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329852/medium/1491811320/enhance,4,0.65,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332021/medium/1491812032/enhance,3,1.35,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329850/medium/1491811319/enhance,2,0.65,3,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325212/medium/1491810517/enhance,1,1.37,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323783/medium/1491809943/enhance,0,2.0,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332210/medium/1491812111/enhance,2,4.48,1,18
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324967/medium/1491810407/enhance,3,1.38,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324583/medium/1491810268/enhance,0,2.29,1,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330355/medium/1491811469/enhance,3,1.14,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323505/medium/1491809832/enhance,4,1.15,3,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329743/medium/1491811284/enhance,3,1.37,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328373/medium/1491810887/enhance,1,1.31,0,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328214/medium/1491810846/enhance,3,1.2,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329570/medium/1491811230/enhance,3,1.28,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329857/medium/1491811321/enhance,0,2.87,3,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331927/medium/1491811995/enhance,4,2.73,1,7
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328011/medium/1491810790/enhance,3,0.85,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328875/medium/1491811021/enhance,4,1.04,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331785/medium/1491811946/enhance,4,1.39,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328751/medium/1491810991/enhance,1,1.29,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331313/medium/1491811781/enhance,3,1.3,0,0
